n_agents,shape,conclusion,steps
5,wheel,1.0,450
5,complete,1.0,89
6,cycle,1.0,164
6,wheel,1.0,199
6,complete,1.0,157
7,cycle,1.0,558
7,wheel,1.0,286
7,complete,1.0,91
8,cycle,1.0,274
8,wheel,1.0,346
8,complete,1.0,65
9,cycle,1.0,1913
9,wheel,0.0,554
9,complete,1.0,98
10,cycle,1.0,468
10,wheel,1.0,336
10,complete,1.0,308
5,cycle,0.0,119
5,wheel,1.0,756
5,complete,1.0,96
6,cycle,1.0,937
6,wheel,1.0,241
6,complete,0.0,29
7,cycle,1.0,468
7,wheel,1.0,304
7,complete,1.0,292
8,cycle,1.0,176
8,wheel,1.0,521
8,complete,1.0,486
9,cycle,1.0,479
9,wheel,1.0,205
9,complete,0.0,20
10,cycle,1.0,685
10,wheel,1.0,119
10,complete,1.0,89
5,cycle,1.0,138
5,wheel,1.0,120
5,complete,1.0,140
6,cycle,1.0,702
6,wheel,1.0,114
6,complete,1.0,89
7,cycle,1.0,1456
7,wheel,1.0,140
7,complete,0.0,9
8,cycle,1.0,729
8,wheel,1.0,273
8,complete,1.0,111
9,cycle,1.0,1134
9,wheel,1.0,513
9,complete,1.0,84
10,cycle,1.0,1705
10,wheel,1.0,475
10,complete,1.0,53
5,cycle,1.0,802
5,wheel,1.0,340
5,complete,0.0,40
6,cycle,1.0,451
6,wheel,1.0,343
6,complete,1.0,82
7,cycle,1.0,816
7,wheel,1.0,582
7,complete,1.0,360
8,cycle,1.0,493
8,wheel,1.0,98
8,complete,1.0,165
9,cycle,1.0,954
9,wheel,1.0,786
9,complete,1.0,104
10,cycle,1.0,1145
10,wheel,0.0,22
10,complete,1.0,38
5,cycle,0.0,156
5,wheel,1.0,194
5,complete,1.0,257
6,cycle,1.0,310
6,wheel,1.0,185
6,complete,1.0,92
7,cycle,1.0,424
7,wheel,1.0,272
7,complete,1.0,164
8,cycle,1.0,408
8,wheel,1.0,623
8,complete,1.0,113
9,cycle,1.0,1202
9,wheel,1.0,847
9,complete,0.0,22
10,cycle,1.0,234
10,wheel,1.0,182
10,complete,1.0,90
5,cycle,1.0,702
5,wheel,0.0,177
5,complete,1.0,144
6,cycle,1.0,719
6,wheel,1.0,380
6,complete,1.0,369
7,cycle,1.0,297
7,wheel,1.0,318
7,complete,1.0,88
8,cycle,1.0,245
8,wheel,1.0,274
8,complete,1.0,74
9,cycle,1.0,664
9,wheel,1.0,276
9,complete,1.0,53
10,cycle,1.0,1246
10,wheel,1.0,367
10,complete,1.0,66
5,cycle,0.0,295
5,wheel,1.0,184
5,complete,1.0,220
6,cycle,1.0,593
6,wheel,1.0,543
6,complete,1.0,84
7,cycle,0.0,260
7,wheel,0.0,721
7,complete,1.0,140
8,cycle,1.0,472
8,wheel,1.0,306
8,complete,1.0,87
9,cycle,1.0,945
9,wheel,1.0,515
9,complete,1.0,83
10,cycle,1.0,663
10,wheel,1.0,191
10,complete,1.0,174
5,cycle,1.0,299
5,wheel,1.0,168
5,complete,1.0,153
6,cycle,1.0,583
6,wheel,1.0,214
6,complete,1.0,205
7,cycle,1.0,647
7,wheel,1.0,289
7,complete,0.0,52
8,cycle,1.0,432
8,wheel,1.0,409
8,complete,1.0,297
9,cycle,1.0,633
